Geography,Year,Sex,Immunization Type,Immunization Percent,Standard Error,Standard score
AB,2022-2023,Both,MMR in Grade 1,78.78,0.17,0
AB,2022-2023,Female,MMR in Grade 1,78.84,0.25,0
AB,2022-2023,Male,MMR in Grade 1,78.73,0.24,0
Z1,2022-2023,Both,MMR in Grade 1,77.33,0.68,-2.13
Z1,2022-2023,Female,MMR in Grade 1,77.45,0.98,-1.41
Z1,2022-2023,Male,MMR in Grade 1,77.2,0.95,-1.61
Z2,2022-2023,Both,MMR in Grade 1,83.36,0.25,18.47
Z2,2022-2023,Female,MMR in Grade 1,83.14,0.36,12.02
Z2,2022-2023,Male,MMR in Grade 1,83.57,0.34,14.05
Z3,2022-2023,Both,MMR in Grade 1,77.49,0.59,-2.22
Z3,2022-2023,Female,MMR in Grade 1,76.76,0.85,-2.44
Z3,2022-2023,Male,MMR in Grade 1,78.21,0.81,-0.65
Z4,2022-2023,Both,MMR in Grade 1,76.06,0.31,-8.79
Z4,2022-2023,Female,MMR in Grade 1,76.7,0.44,-4.9
Z4,2022-2023,Male,MMR in Grade 1,75.45,0.44,-7.48
Z5,2022-2023,Both,MMR in Grade 1,75.47,0.56,-5.93
Z5,2022-2023,Female,MMR in Grade 1,75.91,0.79,-3.71
Z5,2022-2023,Male,MMR in Grade 1,75.03,0.79,-4.68
AB,2022-2023,Both,MMR in Grade 6,89.18,0.13,0
AB,2022-2023,Female,MMR in Grade 6,89.24,0.19,0
AB,2022-2023,Male,MMR in Grade 6,89.1,0.18,0
Z1,2022-2023,Both,MMR in Grade 6,90.98,0.47,3.85
Z1,2022-2023,Female,MMR in Grade 6,91.35,0.66,3.18
Z1,2022-2023,Male,MMR in Grade 6,90.63,0.66,2.31
Z2,2022-2023,Both,MMR in Grade 6,91.87,0.18,14.69
Z2,2022-2023,Female,MMR in Grade 6,92.02,0.26,10.63
Z2,2022-2023,Male,MMR in Grade 6,91.71,0.26,10.15
Z3,2022-2023,Both,MMR in Grade 6,90.27,0.4,2.72
Z3,2022-2023,Female,MMR in Grade 6,90.65,0.57,2.48
Z3,2022-2023,Male,MMR in Grade 6,89.9,0.57,1.4
Z4,2022-2023,Both,MMR in Grade 6,85.82,0.26,-13.06
Z4,2022-2023,Female,MMR in Grade 6,85.83,0.37,-9.29
Z4,2022-2023,Male,MMR in Grade 6,85.78,0.36,-9.19
Z5,2022-2023,Both,MMR in Grade 6,89.73,0.39,1.42
Z5,2022-2023,Female,MMR in Grade 6,89.37,0.58,0.24
Z5,2022-2023,Male,MMR in Grade 6,90.05,0.54,1.76