Year,Region,School name,Coverage (%)
2018/19,City Centre,BLESSED SACRAMENT S.,76.9
2018/19,City Centre,CLAREN ACADEMY,100
2018/19,City Centre,ELSIE ROY ELEMENTARY,87.2
2018/19,City Centre,FALSE CREEK ELEMENT.,87.8
2018/19,City Centre,LECOLE BILINGUE ELEM.,85
2018/19,City Centre,LORD ROBERTS ANNEX,77.8
2018/19,City Centre,LORD ROBERTS ELEMEN.,72.6
2018/19,City Centre,NORTH CREEK MONTES.,50
2018/19,Centre North,ADMIRAL SEYMOUR ELE.,73.7
2018/19,Centre North,BRITANNIA COMMUNITY.,75
2018/19,Centre North,CROSSTOWN ELEMENTA.,81.7
2018/19,Centre North,GRANDVIEW ELEMENTA.,90
2018/19,Centre North,LORD NELSON ELEMENT.,85
2018/19,Centre North,LORD STRATHCONA CO.,91.1
2018/19,Centre North,QUEEN VICTORIA ANNEX,80
2018/19,Centre North,ST FRANCIS OF ASSISI,96.6
2018/19,Centre North,THE WESTSIDE SCHOOL,87.9
2018/19,Centre North,XPEY' ELEMENTARY,50
2018/19,North East,CHARLES DICKENS ELE.,92.5
2018/19,North East,CHIEF MAQUINNA ELEM.,91.4
2018/19,North East,CHILDREN'S HEARING A..,83.3
2018/19,North East,COLLINGWOOD NEIGHB..,85
2018/19,North East,DR A R LORD ELEMENT..,90
2018/19,North East,G T CUNNINGHAM ELEM..,81
2018/19,North East,GRAHAM BRUCE COMM..,85
2018/19,North East,HASTINGS COMMUNITY ..,94.5
2018/19,North East,JOHN NORQUAY ELEME..,89.6
2018/19,North East,LAURA SECORD ELEMEN..,92
2018/19,North East,LORD BEACONSFIELD E..,84.6
2018/19,North East,LORD SELKIRK ELEMENT..,88.6
2018/19,North East,NOOTKA COMMUNITY E..,74
2018/19,North East,OUR LADY OF SORROWS,81.5
2018/19,North East,QUEEN ALEXANDRA ELE..,93.8
2018/19,North East,RENFREW COMMUNITY ..,80.8
2018/19,North East,SIR GUY CARLETON CO..,69.6
2018/19,North East,SIR JOHN FRANKLIN CO..,85
2018/19,North East,SIR MATTHEW BEGBIE E..,66.7
2018/19,North East,SIR WILFRED GRENFELL ..,83.8
2018/19,North East,ST JOSEPH'S,100
2018/19,North East,ST JUDE'S,87
2018/19,North East,ST MARY'S,83.9
2018/19,North East,STRATFORD HALL,93.8
2018/19,North East,THUNDERBIRD ELEMEN..,85
2018/19,North East,TILLICUM COMMUNITY A..,94.4
2018/19,North East,TYEE ELEMENTARY,85
2018/19,North East,VANCOUVER CHRISTIAN,92.5
2018/19,North East,WEST COAST CHRISTIA..,76.9
2018/19,North East,WESTSIDE MONTESSORI..,75
2018/19,Westside,BAYVIEW COMMUNITY E..,80
2018/19,Westside,CARNARVON COMMUNI..,78
2018/19,Westside,CROFTON HOUSE,80
2018/19,Westside,DR R E MCKECHNIE ELE..,94.4
2018/19,Westside,ECOLE JULES QUESNEL ..,86.8
2018/19,Westside,GENERAL GORDON ELE..,80.7
2018/19,Westside,HENRY HUDSON ELEME..,91.8
2018/19,Westside,IMMACULATE CONCEPTI..,70
2018/19,Westside,KERRISDALE ANNEX,89.5
2018/19,Westside,KERRISDALE ELEMENTA..,87.8
2018/19,Westside,LORD KITCHENER ELEM..,88.1
2018/19,Westside,LORD TENNYSON ELEM..,97.5
2018/19,Westside,MAPLE GROVE ELEMENT..,88.2
2018/19,Westside,NORMA ROSE POINT SC..,98.7
2018/19,Westside,OUR LADY OF PERPETU..,92.3
2018/19,Westside,PACIFIC SPIRIT SCHOOL,50
2018/19,Westside,PEAR TREE ELEMENTARY,54.5
2018/19,Westside,QUEEN ELIZABETH ANN..,75
2018/19,Westside,QUEEN ELIZABETH ELE..,81
2018/19,Westside,QUEEN MARY ELEMENT..,86.4
2018/19,Westside,QUILCHENA ELEMENTAR..,86.1
2018/19,Westside,SHAUGHNESSY ELEMEN..,84.3
2018/19,Westside,SOUTHLANDS ELEMENT..,69.2
2018/19,Westside,ST AUGUSTINE'S SCHOOL,94.2
2018/19,Westside,ST JOHN'S SCHOOL,79.3
2018/19,Westside,TRAFALGAR ELEMENTA..,75
2018/19,Westside,UNIVERSITY HILL ELEME..,89.8
2018/19,Westside,VANCOUVER COLLEGE,76.7
2018/19,Westside,WEST POINT GREY ACA..,92.5
2018/19,Westside,WESTSIDE MONTESSORI,61.5
2018/19,Westside,YORK HOUSE SCHOOL,72.2
2018/19,Midtown,CHARLES DICKENS ANN..,90.9
2018/19,Midtown,DAVID LIVINGSTONE EL..,94.9
2018/19,Midtown,ECOLE ROSE-DES-VENTS,86.5
2018/19,Midtown,EDITH CAVELL ELEMENT..,97.4
2018/19,Midtown,EMILY CARR ELEMENTA..,95
2018/19,Midtown,FLORENCE NIGHTINGAL..,87.2
2018/19,Midtown,GENERAL BROCK ELEME..,93.5
2018/19,Midtown,GENERAL WOLFE ELEME..,89.6
2018/19,Midtown,LORD SELKIRK ANNEX,77.8
2018/19,Midtown,MOUNT PLEASANT ELEM..,76.3
2018/19,Midtown,SIMON FRASER ELEMEN..,87.5
2018/19,Midtown,SIR ALEXANDER MACKE..,86.7
2018/19,Midtown,SIR RICHARD MCBRIDE ..,94.4
2018/19,Midtown,SIR RICHARD MCBRIDE ..,85.7
2018/19,Midtown,ST FRANCIS XAVIER,96
2018/19,Midtown,ST PATRICK'S ELEMENT..,88
2018/19,Midtown,TECUMSEH ANNEX,73.7
2018/19,Midtown,VANCOUVER TALMUD T..,73.1
2018/19,South,CAPTAIN JAMES COOK E..,79.2
2018/19,South,CHAMPLAIN HEIGHTS A..,95
2018/19,South,CHAMPLAIN HEIGHTS C..,85
2018/19,South,CORPUS CHRISTI SCHO..,94.1
2018/19,South,DAVID LLOYD GEORGE ..,80.5
2018/19,South,DAVID OPPENHEIMER EL..,87.5
2018/19,South,DR ANNIE B JAMIESON E..,95
2018/19,South,DR GEORGE M WEIR EL..,92.5
2018/19,South,DR H N MACCORKINDAL..,89.5
2018/19,South,ECOLE ANNE HEBERT EL..,75.4
2018/19,South,ECOLE DES COLIBRIS,71.4
2018/19,South,J W SEXSMITH COMMUN..,98.4
2018/19,South,JOHN HENDERSON ANN..,66.7
2018/19,South,JOHN HENDERSON ELE..,86.2
2018/19,South,LEGACY LEADERS ACAD..,68.8
2018/19,South,OAKRIDGE MONTESSOR..,70
2018/19,South,PIERRE ELLIOTT TRUDE..,70.6
2018/19,South,SIR CHARLES KINGSFOR..,89.5
2018/19,South,SIR JAMES DOUGLAS AN..,100
2018/19,South,SIR JAMES DOUGLAS EL..,97.4
2018/19,South,SIR SANDFORD FLEMIN..,96.4
2018/19,South,SIR WILFRID LAURIER EL..,84.2
2018/19,South,SIR WILLIAM OSLER ELE..,89.5
2018/19,South,SIR WM VAN HORNE EL..,92
2018/19,South,ST ANDREW'S,96.2
2018/19,South,ST ANTHONY OF PADUA,100
2018/19,South,TECUMSEH ELEMENTARY,92.3
2018/19,South,VANCOUVER HEBREW A..,81.8
2018/19,South,VANCOUVER MONTESS..,90.9
2018/19,South,WALTER MOBERLY ELE..,87.7
2018/19,South,WAVERLEY ELEMENTARY,92.3
2018/19,North Vancouver,BLUERIDGE ELEMENTARY,89.2
2018/19,North Vancouver,BOUNDARY ELEMENTARY,86.8
2018/19,North Vancouver,BRAEMAR ELEMENTARY,81.6
2018/19,North Vancouver,BROCKTON PREPARATO..,89.5
2018/19,North Vancouver,BROOKSBANK ELEMENT..,92.2
2018/19,North Vancouver,CANYON HEIGHTS ELEM..,93.3
2018/19,North Vancouver,CAPILANO ELEMENTARY,86
2018/19,North Vancouver,CARISBROOKE ELEMENT..,81.8
2018/19,North Vancouver,CLEVELAND ELEMENTA..,91.8
2018/19,North Vancouver,COUTEAU L'ECOLE FRA..,82.1
2018/19,North Vancouver,COVE CLIFF ELEMENTARY,76.5
2018/19,North Vancouver,DOROTHY LYNAS ELEME..,84.8
2018/19,North Vancouver,EASTVIEW ELEMENTARY,88.6
2018/19,North Vancouver,ECOLE ANDRE PIOLAT,91.7
2018/19,North Vancouver,HIGHLANDS ELEMENTA..,97.3
2018/19,North Vancouver,HOLY TRINITY SCHOOL,96.2
2018/19,North Vancouver,LARSON ELEMENTARY,83.1
2018/19,North Vancouver,LIONS GATE CHRISTIAN ..,75
2018/19,North Vancouver,LYNN VALLEY ELEMENT..,89.7
2018/19,North Vancouver,LYNNMOUR ELEMENTAR..,75
2018/19,North Vancouver,MONTROYAL ELEMENTA..,93.9
2018/19,North Vancouver,NORGATE COMMUNITY ..,75
2018/19,North Vancouver,NORTH STAR MONTESS..,81.8
2018/19,North Vancouver,QUEEN MARY COMMUNI..,83.3
2018/19,North Vancouver,QUEENSBURY ELEMENT..,91.9
2018/19,North Vancouver,RIDGEWAY ELEMENTARY,90
2018/19,North Vancouver,ROSS ROAD ELEMENTA..,90.6
2018/19,North Vancouver,SEYMOUR HEIGHTS ELE..,74.1
2018/19,North Vancouver,SHERWOOD PARK ELEM..,85.5
2018/19,North Vancouver,ST EDMUND'S,87.5
2018/19,North Vancouver,ST PIUS X ELEMENTARY ..,88.5
2018/19,North Vancouver,UPPER LYNN ELEMENTA..,95.8
2018/19,North Vancouver,VANCOUVER WALDORF ..,30.8
2018/19,North Vancouver,WESTVIEW ELEMENTAR..,80
2018/19,North Vancouver,WINDSOR HOUSE SCHO..,20
2018/19,West Vancouver- Bowen Island,BOWEN ISLAND COMMU..,76.6
2018/19,West Vancouver- Bowen Island,CAULFEILD ELEMENTARY,65
2018/19,West Vancouver- Bowen Island,CHARTWELL ELEMENTA..,88.2
2018/19,West Vancouver- Bowen Island,COLLINGWOOD SCHOOL,93.3
2018/19,West Vancouver- Bowen Island,CYPRESS PARK PRIMARY,76.5
2018/19,West Vancouver- Bowen Island,EAGLE HARBOUR MONT..,100
2018/19,West Vancouver- Bowen Island,ECOLE CEDARDALE,90.9
2018/19,West Vancouver- Bowen Island,ECOLE PAULINE JOHNSO..,91.5
2018/19,West Vancouver- Bowen Island,GLENEAGLES ELEMENT..,83.3
2018/19,West Vancouver- Bowen Island,HOLLYBURN ELEMENTA..,96
2018/19,West Vancouver- Bowen Island,IRWIN PARK ELEMENTA..,72.7
2018/19,West Vancouver- Bowen Island,LIONS BAY COMMUNITY ..,83.3
2018/19,West Vancouver- Bowen Island,MULGRAVE SCHOOL,87.7
2018/19,West Vancouver- Bowen Island,RIDGEVIEW ELEMENTARY,94.4
2018/19,West Vancouver- Bowen Island,ST ANTHONY'S,90
2018/19,West Vancouver- Bowen Island,WEST BAY ELEMENTARY,94.7
2018/19,West Vancouver- Bowen Island,WESTCOT ELEMENTARY,92.1
2018/19,Sunshine Coast,CEDAR GROVE ELEMEN..,70.8
2018/19,Sunshine Coast,DAVIS BAY ELEMENTARY,87.5
2018/19,Sunshine Coast,GIBSONS ELEMENTARY,87.8
2018/19,Sunshine Coast,HALFMOON BAY ELEME..,82.6
2018/19,Sunshine Coast,KINNIKINNICK ELEMENT..,70.6
2018/19,Sunshine Coast,LANGDALE ELEMENTARY,90.9
2018/19,Sunshine Coast,MADEIRA PARK ELEMEN..,82.4
2018/19,Sunshine Coast,ROBERTS CREEK ELEMEN..,75.8
2018/19,Sunshine Coast,WEST SECHELT ELEMEN..,77.4
2018/19,Powell River,ASSUMPTION SCHOOL,83.3
2018/19,Powell River,ECOLE COTE DU SOLEIL,70.6
2018/19,Powell River,EDGEHILL ELEMENTARY,90.3
2018/19,Powell River,HENDERSON ELEMENTA..,90.9
2018/19,Powell River,JAMES THOMSON ELEME..,83.3
2018/19,Powell River,KELLY CREEK COMMUNI..,90
2018/19,Powell River,POWELL RIVER CHRISTI..,92.3
2018/19,Powell River,WESTVIEW ELEMENTAR..,97.5
2018/19,Howe Sound,BRACKENDALE ELEMEN..,79.2
2018/19,Howe Sound,ECOLE DE LA VALLEE D..,83.3
2018/19,Howe Sound,ECOLE LA PASSERELLE,83.3
2018/19,Howe Sound,ECOLE LES AIGLONS,87.5
2018/19,Howe Sound,ECOLE SQUAMISH ELEM..,77.8
2018/19,Howe Sound,GARIBALDI HIGHLANDS ..,85.6
2018/19,Howe Sound,MAMQUAM ELEMENTARY,74.2
2018/19,Howe Sound,MYRTLE PHILIP COMMU..,94.1
2018/19,Howe Sound,SIGNAL HILL ELEMENTA..,86.4
2018/19,Howe Sound,SPRING CREEK COMMU..,95.1
2018/19,Howe Sound,SQUAMISH MONTESSOR..,93.8
2018/19,Howe Sound,STAWAMUS ELEMENTARY,72.7
2018/19,Howe Sound,VALLEYCLIFFE ELEMENT..,92.7
2018/19,Howe Sound,WHISTLER WALDORF SC..,37.5
2018/19,Bella Coola Valley,BELLA COOLA ELEMENT..,85.7